Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Sex
0.6213416293095508,-0.9397569334266309,1.5057929889251438,1.295539993828655,,,-0.8582925733153937
0.18543425089657453,-1.7151276691962278,0.794970890716815,0.6793712959419714,-1.1472340431538304,-0.6152949900697379,0.9655791449798179
1.1662258523257714,1.4897380386514394,-0.27126225659567815,-1.1075179279294105,2.3785623339918596,1.4411000793292945,-0.8582925733153937
0.4215507475369376,-1.1465224629651902,1.434710779104311,1.3571568636173232,-0.24437025583184482,-1.4097356619657995,-0.8582925733153937
-0.12333347547928308,0.9728242148050413,-0.27126225659567815,0.7101797308363056,1.0796537814037728,0.31815604219887716,-0.8582925733153937
-1.6126836850569535,0.4042190085740028,-0.7688377253415083,-0.9226673185634054,-0.9938244492913058,-0.5760831204012937,0.9655791449798179
-0.7771945430987481,0.30083624380472357,-1.0531665646248398,-0.8610504487747371,-0.49341828461047227,-0.5236516745388373,0.9655791449798179
0.4942019772724334,-1.5083621396576694,0.6528064710751492,0.8026050355193081,-0.6473083807547025,-1.434288076718627,0.9655791449798179
-0.5410780464583863,-1.7668190515808684,0.9371353103584807,0.5561375563646348,-0.9930852150117594,0.390658900930554,0.9655791449798179
-0.17782189778090593,0.24914486142008485,-0.34234446641651106,0.6177544261533031,-0.18584138174888878,-0.648250834947774,-0.8582925733153937
0.18543425089657453,-1.9735845811194268,0.866053100537648,1.1106893844626498,-0.5201970463869816,-1.4751508418178678,0.9655791449798179
-0.1959847052147802,0.7143673028818424,-0.4134266762373439,0.06320259805528802,-0.8017898643225658,-0.8463458738963863,-0.8582925733153937
-1.4855440330198348,0.45591039095864333,0.08414879250848623,-0.7994335789860687,-0.4949891574545045,-0.4321945502219387,0.9655791449798179
-0.23231032008252747,-1.7668190515808684,0.866053100537648,0.9258387750966448,-1.4115657406620448,-1.243330367640017,0.9655791449798179
1.1117374300241498,-0.9397569334266309,1.363628569283478,1.6652412125606648,-0.790978562984226,0.6427990429296294,-0.8582925733153937
-1.7034977222263235,0.5076017733432838,-0.982084354804007,-1.6004528862387573,-0.5817383001590833,-1.0416232191398007,0.9655791449798179
-0.3957755869873934,-1.2499052277344704,0.6528064710751492,0.6177544261533031,-1.1274040836050412,-0.9186997796568641,0.9655791449798179
-0.9043341951358668,0.8694414500357621,-0.7688377253415083,-0.7378167091974004,-0.6723129802603026,-0.501432856334812,0.9655791449798179
-0.06884505317766153,-0.9914483158112715,0.866053100537648,0.5561375563646348,-0.9551070539001476,-0.49953370595201135,0.9655791449798179
-0.9224970025697411,1.4897380386514394,-0.7688377253415083,-0.306498620676722,0.8440228547988836,0.726734042200918,-0.8582925733153937
0.09462021372720442,0.0940707142661651,1.2925463594626452,1.295539993828655,-1.1008840538263727,-1.3441839418901271,-0.8582925733153937
-1.1222878843423543,0.8177500676511216,-1.479659823549837,-0.7378167091974004,-0.1301770404991686,0.7995348068749971,-0.8582925733153937
1.0935746225902756,-0.5262258743495122,0.866053100537648,1.4803906031946599,-0.6824035281760906,-0.555204878938072,-0.8582925733153937
0.3125739029336932,1.1795897443435999,-0.4845088860581768,-0.830242013880403,1.3614868504802098,1.3035420104259448,0.9655791449798179
1.2933655043628902,0.8694414500357621,0.1552310023293191,-0.12164801131071701,0.9218457435779593,1.9056099200169954,-0.8582925733153937
-1.3039159586810944,0.8694414500357621,-0.982084354804007,-0.49134923004272707,-1.5675626545029766,-0.6707179081037989,0.9655791449798179
